county_fips,bea_county_name,state_name,population_start,gdp_per_capita_start,gdp_index_start,population_end,gdp_per_capita_end,gdp_index_end,gdp_index_change,gdp_index_ratio,rank_start,rank_end,rank_gain,period
21203,"Rockcastle, KY",Kentucky,16572.0,10627.383538498672,28.799693381351027,16226.0,26597.990878836434,31.0465160499306,2.246822668579572,1.0780155065829444,3019.0,2953.0,66.0,2001-2024
08105,"Rio Grande, CO",Colorado,12213.0,21605.420453615,58.54964038751388,11132.0,52082.73445921667,60.79359372210904,2.2439533345951546,1.0383256552857274,1754.0,1728.0,26.0,2001-2024
53035,"Kitsap, WA",Washington,234513.0,27256.314148895795,73.86328792504196,281420.0,65201.61680051169,76.10661465747019,2.2433267324282298,1.030371335956569,1014.0,1107.0,-93.0,2001-2024
17043,"DuPage, IL",Illinois,911474.0,58805.51063442292,159.36007854332215,937142.0,138435.81335592686,161.5892614152216,2.229182871899468,1.0139883394403164,95.0,140.0,-45.0,2001-2024
29195,"Saline, MO",Missouri,23399.0,23257.019530749178,63.02539369387345,23325.0,55902.079314040726,65.25172561168212,2.226331917808672,1.035324363519606,1508.0,1526.0,-18.0,2001-2024
37091,"Hertford, NC",North Carolina,22812.0,23372.347887076976,63.33792793980365,19169.0,56158.06771349575,65.5505281787061,2.2126002389024535,1.0349332589630231,1487.0,1509.0,-22.0,2001-2024
05099,"Nevada, AR",Arkansas,9774.0,16304.583589113976,44.18462986454199,8004.0,39749.000499750124,46.39703756595084,2.21240770140885,1.0500718849109179,2497.0,2434.0,63.0,2001-2024
36115,"Washington, NY",New York,61142.0,18192.028392921395,49.29951363879947,59839.0,44129.84842661141,51.510584152728,2.211070513928533,1.0448497429432728,2241.0,2176.0,65.0,2001-2024
20087,"Jefferson, KS",Kansas,18640.0,10955.74034334764,29.689524379270043,18332.0,27329.042112153613,31.899835909761165,2.210311530491122,1.0744475223737304,3003.0,2938.0,65.0,2001-2024
25023,"Plymouth, MA",Massachusetts,478222.0,28518.884534797646,77.28479236728063,542090.0,68100.54050065487,79.49038456678434,2.2055921995037124,1.0285385019736104,913.0,985.0,-72.0,2001-2024
29027,"Callaway, MO",Missouri,41490.0,24969.87225837551,67.66714141892243,45126.0,59849.97562380889,69.85990924115335,2.1927678222309197,1.032405208440174,1269.0,1334.0,-65.0,2001-2024
37033,"Caswell, NC",North Carolina,23610.0,9425.328250741211,25.54218191679941,22363.0,23758.12726378393,27.731684049800275,2.1895021330008646,1.0857210296337605,3067.0,3020.0,47.0,2001-2024
47051,"Franklin, TN",Tennessee,39577.0,16691.815953710488,45.234010770699676,45137.0,40617.65292332233,47.41097247303075,2.176961702331077,1.0481266565851641,2445.0,2387.0,58.0,2001-2024
55033,"Dunn, WI",Wisconsin,40599.0,23297.51964334097,63.13514703253187,46135.0,55944.207217947325,65.30089942525113,2.165752392719263,1.034303434687549,1502.0,1524.0,-22.0,2001-2024
24013,"Carroll, MD",Maryland,154037.0,20795.84775086505,56.3557376715116,177108.0,50124.14458974185,58.507428872482556,2.1516912009709586,1.0381805170134195,1882.0,1837.0,45.0,2001-2024
40037,"Creek, OK",Oklahoma,67768.0,15837.519183095266,42.91890800234015,73971.0,38602.763245055496,45.05909164789201,2.1401836455518577,1.0498657525358093,2558.0,2497.0,61.0,2001-2024
