county_fips,bea_county_name,state_name,population_2024,bachelors_or_higher_pct,income_index_2020_2024,mobility_5yr_avg,county_gdp_per_capita,pcpi_2024,education_residual_after_controls,income_residual_after_controls
18085,"Kosciusko, IN",Indiana,80669.0,24.6,86.34788536436568,-9.617382028985103,94391.12958423037,60847.0,-7.020500437136803,-5.677159408020984
18089,"Lake, IN",Indiana,502955.0,24.9,80.76861904059062,-15.439409331852602,60584.697088117995,58423.0,-7.892859866506676,-4.97776717022623
18091,"LaPorte, IN",Indiana,111348.0,21.7,76.44291243275354,-16.02811461100498,50954.860398962024,55790.0,-8.897831595189526,-8.764438290538678
18095,"Madison, IN",Indiana,134222.0,20.1,70.64617798654831,-20.813654235268658,39803.00727764244,51116.0,-10.22771142258443,-12.429845139119507
18097,"Marion, IN",Indiana,981628.0,34.1,102.48687522989556,-2.9245890177202796,132149.61999213847,75002.0,-2.4544220062592146,5.331337309389298
18105,"Monroe, IN",Indiana,140702.0,49.1,81.6335892817824,5.903813148677429,63677.51855931112,60402.0,25.131286832212798,18.487177206096554
18109,"Morgan, IN",Indiana,73825.0,20.6,81.25392414103067,-4.72949325251227,35217.3069998061,59692.0,-7.077279734995685,2.4398401396155407
18127,"Porter, IN",Indiana,175860.0,30.1,95.21102356418622,-10.070658234854877,55605.34596612116,69285.0,-5.426496353365657,-7.760791885878973
18141,"St. Joseph, IN",Indiana,273744.0,32.6,83.645152076817,-10.164004312821165,68663.03095673102,59030.0,1.1052389507567568,-1.0750029602969988
18157,"Tippecanoe, IN",Indiana,191650.0,40.1,71.75026493259335,-15.338259936720434,69496.27265887224,52373.0,11.58428086458617,-6.062440897902462
18163,"Vanderburgh, IN",Indiana,180387.0,27.1,85.96164277969262,-7.890931096483499,83018.05923027325,62998.0,-4.245605396009687,0.16436718365652325
18167,"Vigo, IN",Indiana,106166.0,25.9,70.55886591422811,-12.177311883615488,58683.79770435306,51499.0,-0.9289820560397999,-1.2935786600373405
18173,"Warrick, IN",Indiana,66339.0,35.5,102.48601777388228,14.011303565535826,49245.42923433875,74288.0,7.032550941389072,19.185320243048324
18177,"Wayne, IN",Indiana,66410.0,20.2,75.51336445670141,-15.765810971924878,55658.676951353635,54628.0,-9.800686272634834,-8.891045702217255
