county_fips,bea_county_name,state_name,population_2024,income_index_1969_1973,income_index_2020_2024,mobility_5yr_avg,predicted_mobility,residual_mobility,rank_gain,graduate_degree_pct,bachelors_or_higher_pct,management_science_arts_occupation_pct,worked_from_home_pct,broadband_pct,poverty_pct,county_gdp_per_capita,rucc_group,metro_status,engine_label,engine_share,knowledge_command_share,resource_share,manufacturing_share,trade_logistics_share,education_health_share,leisure_amenity_share,government_share,specialization_gap
36119,"Westchester, NY",New York,1006447.0,156.8975344827828,186.3236767944931,29.426142311710322,24.882778128302146,4.543364183408176,-3.0,26.5,52.5,53.2,17.3,92.4,8.9,112734.06440843908,"Metro, 1M+",Metro,Knowledge / command,59.20679788605519,59.20679788605519,0.0374752585102472,2.8888290896758853,9.62814944205617,9.603040819110545,3.3476879464153404,8.91350954522582,20.22150803218157
06079,"San Luis Obispo, CA",California,281843.0,91.83980726956342,105.52835230904152,13.6885450394781,9.153946443906106,4.534598595571994,265.0,14.9,39.2,41.7,14.0,92.4,12.8,81936.4657567339,"Metro, 250k-1M",Metro,Knowledge / command,29.46324611432783,29.46324611432783,3.126660215591804,5.46137910312866,10.213357609811064,7.429094320424777,6.0842317005296405,11.700453739382423,2.0165530033367056
34025,"Monmouth, NJ",New Jersey,647520.0,115.97150970260559,142.73190036603313,26.760390663427543,22.247021446799984,4.513369216627559,27.0,19.7,50.6,51.6,16.8,93.2,6.4,77779.75497774291,"Metro, 1M+",Metro,Knowledge / command,45.622544505975966,45.622544505975966,0.1981275917779099,3.0242146266859606,13.52718220414934,14.580095612504335,5.187433920700038,8.107327917883781,5.896346308413303
37141,"Pender, NC",North Carolina,70077.0,60.72999131441115,76.84232221187821,16.11233089746706,11.628512234141743,4.483818663325318,301.0,10.1,29.8,37.0,11.4,88.0,10.7,36679.25955100433,"Metro, 250k-1M",Metro,Trade / logistics,12.46978811744107,8.108110256184048,4.481651124585418,3.5614057258124125,12.46978811744107,5.315860711796325,4.033629073984439,10.697251702237407,4.194596390235409
55127,"Walworth, WI",Wisconsin,106029.0,92.15556734292855,95.57557747348908,3.4200101305605273,-1.0529984895727058,4.473008620133233,157.0,10.8,32.3,34.9,9.7,87.6,9.7,58219.067398788015,"Nonmetro urban, adjacent",Nonmetro,Knowledge / command,28.501490817653146,28.501490817653146,0.7414385027986891,21.623971413668812,15.9692338832102,6.361642001354581,7.974044981432897,12.286579527142225,11.791482090928737
39157,"Tuscarawas, OH",Ohio,92048.0,84.75749667973723,81.32615308579751,-3.431343593939715,-7.884781544026109,4.453437950086394,62.0,6.1,19.6,30.2,7.1,83.5,13.0,54412.78824863639,"Nonmetro urban, adjacent",Nonmetro,Knowledge / command,24.47730046524001,24.47730046524001,7.659965474639408,22.741609616146555,16.524422056141645,6.812342582245947,3.2615694146143617,9.762172156598645,12.909120293406476
48167,"Galveston, TX",Texas,367407.0,91.47448586398681,92.95424957802192,1.4797637140351014,-2.9577981969939056,4.437561911029007,138.0,11.4,34.3,44.5,10.6,92.8,11.2,73129.16630253072,"Metro, 1M+",Metro,Manufacturing,31.989674300233776,24.52857935398461,0.6558321442727438,31.989674300233776,10.328369053625984,3.543127805670713,4.330385333849066,15.997324181765638,22.1571849774937
48201,"Harris, TX",Texas,5009302.0,104.09059194923864,106.10002810932924,2.009436160090601,-2.4245654784371213,4.4340016385277226,12.0,12.8,33.7,39.0,11.4,91.0,15.9,118520.27800736311,"Metro, 1M+",Metro,Knowledge / command,32.87688345112413,32.87688345112413,4.085784769419256,15.147875805881537,24.596110982814693,5.947615585808062,3.2142993323961004,6.501573203010369,7.924502884531127
26021,"Berrien, MI",Michigan,152703.0,98.04895662396567,90.2366840559342,-7.81227256803146,-12.21850613252732,4.40623356449586,-81.0,12.2,30.2,37.9,10.2,85.9,15.2,61835.00531252648,"Metro, <250k",Metro,Manufacturing,20.12127134050847,7.027637962407695,1.9631888962472317,20.12127134050847,10.878426962869913,8.615568533495116,4.227148333074717,9.174262932104266,10.288782017768394
40109,"Oklahoma, OK",Oklahoma,816490.0,103.75589313033672,103.29546143920697,-0.4604316911297417,-4.863227654663119,4.402795963533377,-7.0,12.9,35.1,40.8,9.5,90.4,15.7,88030.45770886973,"Metro, 1M+",Metro,Knowledge / command,33.31878674155327,33.31878674155327,2.960626081187369,5.166079805401701,18.559726026078216,12.18734507544095,4.496414446856897,16.20719250710835,4.956115514276105
