county_fips,bea_county_name,state_name,population_start,income_index_start,pcpi_start,income_index_end,pcpi_end,population_end,income_index_volatility,income_index_change,income_index_ratio,population_change_pct,rank_start,rank_end,rank_gain,period,high_volatility
20059,"Franklin, KS",Kansas,19978.0,88.14768414065344,5404.454545454545,75.28304793568971,50097.2,26273.0,5.278489045102309,-12.86463620496373,0.8540558798523148,31.50966062668936,1128.0,1743.0,-615.0,1969-1979 avg vs 2020-2024 avg,False
18133,"Putnam, IN",Indiana,26770.0,83.54072169976158,5121.0,70.67570298079971,47087.8,37804.0,5.688693205061255,-12.865018718961863,0.8460030215539953,41.2177810982443,1407.0,2172.0,-765.0,1969-1979 avg vs 2020-2024 avg,False
56007,"Carbon, WY",Wyoming,13113.0,114.13549855634305,7059.636363636364,101.26834315691258,67424.0,14250.0,12.813277220138238,-12.867155399430473,0.8872642117291967,8.67078471745597,140.0,412.0,-272.0,1969-1979 avg vs 2020-2024 avg,True
38001,"Adams, ND",North Dakota,3897.0,98.95796521266625,5932.909090909091,86.04441826896345,56833.2,2141.0,15.493287182073496,-12.913546943702798,0.8695047243953444,-45.060302797023354,477.0,983.0,-506.0,1969-1979 avg vs 2020-2024 avg,True
54109,"Wyoming, WV",West Virginia,30411.0,67.40701178280706,4114.0,54.46811667227762,36339.4,19964.0,5.172393689472239,-12.938895110529444,0.808048231655484,-34.352701325178394,2440.0,3024.0,-584.0,1969-1979 avg vs 2020-2024 avg,False
29177,"Ray, MO",Missouri,17619.0,87.47664042228475,5353.545454545455,74.52280762531646,49638.4,23199.0,4.922419483311826,-12.953832796968285,0.8519166633007972,31.67035586582667,1165.0,1814.0,-649.0,1969-1979 avg vs 2020-2024 avg,False
31101,"Keith, NE",Nebraska,8465.0,97.19197289032468,5929.363636363636,84.22568661821664,56105.0,8148.0,8.91786177133523,-12.966286272108036,0.8665909757101061,-3.7448316597755493,569.0,1076.0,-507.0,1969-1979 avg vs 2020-2024 avg,True
01015,"Calhoun, AL",Alabama,102946.0,78.40751055987859,4805.090909090909,65.43687967594504,43580.4,116427.0,4.873747187951406,-12.970630883933552,0.834574127002437,13.095214967070113,1763.0,2573.0,-810.0,1969-1979 avg vs 2020-2024 avg,False
35009,"Curry, NM",New Mexico,38000.0,94.51722629412689,5706.181818181818,81.54333589393835,54348.2,47156.0,7.523981434330071,-12.973890400188537,0.8627351763390172,24.094736842105256,711.0,1271.0,-560.0,1969-1979 avg vs 2020-2024 avg,False
40027,"Cleveland, OK",Oklahoma,74984.0,91.43691887996954,5605.818181818182,78.45428133370754,52285.0,303952.0,6.402076397056012,-12.982637546261998,0.8580153650703773,305.3558092393044,898.0,1493.0,-595.0,1969-1979 avg vs 2020-2024 avg,False
20069,"Gray, KS",Kansas,4541.0,123.39351194079782,7306.818181818182,110.40325569019451,73468.8,5730.0,24.02107738066961,-12.99025625060331,0.8947249653058272,26.183659986787045,70.0,259.0,-189.0,1969-1979 avg vs 2020-2024 avg,True
